"file.text","file.place_full_name","file.geo_coords","file.coords_coords"
"#KnowlegeIsPower #Dexcom #DexcomG6 #CapitalismIsGood #T1D #FirstWorldProblems #Insights #Diabetes #Wisdom #Fatigue #LowLevelsSuck #DiabetesAwareness #KruseT1D #CureT1D #T1DLooksLikeMeâ€¦ https://t.co/E0qxzYcVf1","Illinois, USA","41.20627092 -90.44297658","-90.44297658 41.20627092"
"Check me out #hawaiianshirtfriday on Wednesday.  #backpain #headache #aspenlasers #rocktape #ifinstl @ Chesterfield, Missouri https://t.co/5h9CkgT0pZ","Chesterfield, MO","38.6534 -90.5543","-90.5543 38.6534"
"Just a typical day at the studio<U+0001F937><U+0001F3FE><U+200D><U+2642><U+FE0F><U+0001F919><U+0001F3FE> we work, and freestyle<U+0001F525><U+0001F4AF><U+0001F4AA><U+0001F3FE> sneezeblessesyou blessing yâ€™all with a effortless dope off the dome freestyle<U+0001F3B6><U+0001F64F><U+0001F3FE> #PGBSZN #Sneeze #Music #Freestyle @â€¦ https://t.co/GjeUP2F2cL","Richmond, VA","37.5373 -77.4371","-77.4371 37.5373"
"Yâ€™all. <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602> When the preachers sore throat becomes .... well, HILARIOUS!! 

This wife hopes this makes you laugh as much as it made me!! 

#laughter #funnyvideos #sorethroat #wednesdayâ€¦ https://t.co/R98CNJgmIH","Russellville, AR","35.2783 -93.13481","-93.13481 35.2783"
"Someone, just kill me. Lol! Fever, chills, headache, and stomach discomfort. <U+0001F644> #flu2019 @ Elk Grove, California https://t.co/MiGeUIZL8Z","Elk Grove, CA","38.4382 -121.382","-121.382 38.4382"
"Borrowed this from @obnxs1 behold the truth #numbersdontlie #gunchannels #cdc #gun #guns #gunsofinstagram #gunsdaily #gunsdontkillpeople @ North Carolina https://t.co/zuMupHC3fV","North Carolina, USA","35.5 -80","-80 35.5"
"Another full day @CaDanceClassics Today is Nadiaâ€™s contemporary competition!
#CDC #californiadanceclassics 
#dance #dancecompetitions #contemporarydance #classicalballet #classicbeautyâ€¦ https://t.co/QcrJfboyXT","Downey, CA","33.939197 -118.129649","-118.129649 33.939197"
"I hate you! #flu2019 @ Henry County, Georgia https://t.co/yTA4HvpXnB","McDonough, GA","33.42668991 -84.17788535","-84.17788535 33.42668991"
"To complement my post from yesterday #Fitness #FitnessMagazine #Bikini #BikiniReady #CrashDiet #Energy #WantMoreEnergy #Headache #Headaches #Starving #Starve #DontStarveYourselfâ€¦ https://t.co/pzkcy4D2h9","Manhattan, NY","40.7142 -74.0064","-74.0064 40.7142"
"Covering up #headache/#migraine symptoms with medications without addressing the root causes will never correct the problem, and may simply allow it to get worse with time.

Work with aâ€¦ https://t.co/5iggJt2J8r","La Grange Park, IL","41.8297 -87.8692","-87.8692 41.8297"
"Letâ€™s talk. I want you to know that if you suffer from #PMS #constipation #bloating #endometriosis #hotflashes memory fog #thyroid dysfunction and #fatigue <U+0001F449><U+0001F3FD> This does not have to be aâ€¦ https://t.co/nROwtPpFZY","Toronto, Ontario","43.7166 -79.3407","-79.3407 43.7166"
"#LetsTalk - if you suffer from #PMS #endometriosis #thyroid dysfunction, #fatigue #hotflashes #constipation #bloating or #pelvicpain or #incontinence <U+0001F449><U+0001F3FD> this does not have to be your dailyâ€¦ https://t.co/jJ36lctQEQ","Toronto, Ontario","43.7166 -79.3407","-79.3407 43.7166"
"#exhausted #lifeofaninsuranceagent #workhard #hustle #glasses #headache #stress #mood #igotthis #arabalabama #wine #relax #longday #worklate #overtime #insurance @ Arab, Alabama https://t.co/JndSL4NCyw","Arab, AL","34.3279 -86.4986","-86.4986 34.3279"
"#breakfast time! #biscuitsandgravy for me! #starving with a #headache! Living a #stressful #life sucks balls! Lol. #goodmorning @ Loaded Cafe Restaurants https://t.co/uif8cGxxwQ","Santa Ana, CA","33.73801 -117.91794","-117.91794 33.73801"
"#positive #love #happy #motivation #inspiration #life #positivevibes #success #quotes #instagood #lifestyle #smile #goals #happiness #goodvibes #quote #positivity #health #entrepreneurâ€¦ https://t.co/Anf1AcKWAI","Chicago, IL","41.89972222 -87.65","-87.65 41.89972222"
"#nutrition #motivation #health #healthy #lifestyle #eatclean #healthyfood #exercise #food #cleaneating #goals #inspiration #instafit #protein #love #instagood #vegan #healthyeatingâ€¦ https://t.co/3KTeR5Wk0v","Chicago, IL","41.89972222 -87.65","-87.65 41.89972222"
"#positive #love #happy #motivation #inspiration #life #positivevibes #success #quotes #instagood #lifestyle #smile #goals #happiness #goodvibes #quote #positivity #health #entrepreneurâ€¦ https://t.co/lZRALOvmsA","Chicago, IL","41.89972222 -87.65","-87.65 41.89972222"
"#nutrition #motivation #health #healthy #lifestyle #eatclean #healthyfood #exercise #food #cleaneating #goals #inspiration #instafit #protein #love #instagood #vegan #healthyeatingâ€¦ https://t.co/FFIzzDdPKT","Chicago, IL","41.89972222 -87.65","-87.65 41.89972222"
"Madly in Love <U+0001F49A>

#Fitbit #FitbitAlta #Strong #MakeAFitChoice #FitbitFriend #FitForGood #health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #bodybuilding #cardio #gymâ€¦ https://t.co/endDaM99vr","Daytona Beach, FL","29.21344 -81.09891","-81.09891 29.21344"
"#GOD
#health
#family
#food
#beauty

In that order! #hustler 

""We do what we must today, so we can do what we want tomorrow""

Lets get it! @ Planet Fitness https://t.co/OqxzpgJQt9","Georgia, USA","33.93947477 -84.12346512","-84.12346512 33.93947477"
"<U+0001F970>OH HEY WE ARE PRESENT AT THE GYM  ELIC CHEST NIGHT <U+0001F44F><U+0001F3FB><U+0001F4AA><U+0001F3FB><U+261D><U+0001F3FB>
<U+0001F4AA><U+0001F3FB><U+0001F4AA><U+0001F3FB><U+0001F4AA><U+0001F3FB><U+0001F4AA><U+0001F3FB><U+0001F4AA><U+0001F3FB><U+0001F525>
<U+0001F525>
<U+0001F525>
<U+0001F525>
<U+0001F525>
#health #fitness #fit #lafitnesslifestyle #lafitness #fitnessmodel #fitnessaddict #fitspo #workoutâ€¦ https://t.co/nB1NaQhcKy","South Miami, FL","25.70566 -80.28636","-80.28636 25.70566"
"Working a little core today... #core #gym #gymlife #fitness #health #myjourney #determination #workoutmotivation #workoutanytime #texas #girlswholift #fitfam #bodygoals #abs @ McKinney,â€¦ https://t.co/zlzn8Cztwk","McKinney, TX","33.1972 -96.6397","-96.6397 33.1972"
"Parmesan Risotto, Steak <U+0001F969> with Creamed Peas and Red Onions
.
.
.
.
.
#steak #peas #health #food #parmesan #herbs #creamcheese #redonion #mealprep #dinner #mealâ€¦ https://t.co/IMfHfVFicO","Arlington, TX","32.77981789 -97.09144834","-97.09144834 32.77981789"
"Yeap....

#fitnessgirl #gym #fitgirls #workout #motivation #fitnessmotivation #bodybuilding #training #love #instagood #like #lifestyle #health #gymlife #healthy #fitsport #photoofthedayâ€¦ https://t.co/PN4tiyDafB","Leisure City, FL","25.49403985 -80.4339416","-80.4339416 25.49403985"
"Stay strong...no matter what happend...no matter....

#fitnessgirl #gym #fitgirls #workout #motivation #fitnessmotivation #bodybuilding #training #love #instagood #like #lifestyle #healthâ€¦ https://t.co/ABlvIh1K63","The Hammocks, FL","25.65722791 -80.42688598","-80.42688598 25.65722791"
"Yeap....

#fitnessgirl #gym #fitgirls #workout #motivation #fitnessmotivation #bodybuilding #training #love #instagood #like #lifestyle #health #gymlife #healthy #fitsport #photoofthedayâ€¦ https://t.co/66cAkznyt1","Leisure City, FL","25.49403985 -80.4339416","-80.4339416 25.49403985"
"Never assume....think before you dip....

#fitnessgirl #gym #fitgirls #workout #motivation #fitnessmotivation #bodybuilding #training #love #instagood #like #lifestyle #health #gymlifeâ€¦ https://t.co/A1Z5XQEPwU","Leisure City, FL","25.49403985 -80.4339416","-80.4339416 25.49403985"
"Even the coldest heart can be melted by love....

#fitnessgirl #gym #fitgirls #workout #motivation #fitnessmotivation #bodybuilding #training #love #instagood #like #lifestyle #healthâ€¦ https://t.co/RBheAr8BqR","Leisure City, FL","25.49403985 -80.4339416","-80.4339416 25.49403985"
"#team #filfilfoods #tasting thefreshmarket #montvale #nj #family is always #onbrand #addingyummytolife #garlic #love #health and #happiness @ The Fresh Market https://t.co/J3kp8SjDjq","Montvale, NJ","41.048457 -74.071772","-74.071772 41.048457"
"Day 15 - are you really ready to seek help for what health issues you may have? 

#headaches #performance #health #wellness #chiropractor #chiropractic #Yoga #fuelhotyogaâ€¦ https://t.co/O4LtROmWBF","Athens, GA","33.91445 -83.34582","-83.34582 33.91445"
"Thoughtful Thursday 

#loveandhappiness
#headaches #performance #health #wellness #chiropractor #chiropractic #Yoga #gymnastics #guide2athens #herniateddisc #bulgingdiscâ€¦ https://t.co/QHTozDFNYR","Athens, GA","33.91445 -83.34582","-83.34582 33.91445"
"Wisdom Wednesday 
This one is for everyone, but especially my yoga peeps! 

#headaches #performance #health #wellness #chiropractor #chiropractic #Yoga #fuelhotyoga #gymnasticsâ€¦ https://t.co/jIAyXomw8W","Athens, GA","33.91445 -83.34582","-83.34582 33.91445"
"Day 16 - Love &amp; â€œThe Oneâ€

#loveandhappiness
#headaches #performance #health #wellness #chiropractor #chiropractic #Yoga #gymnastics #guide2athens #herniateddisc #bulgingdiscâ€¦ https://t.co/04OCLjxLFJ","Athens, GA","33.91445 -83.34582","-83.34582 33.91445"
"THU MARCH 7, 2019 - CROSSFIT  https://t.co/t05xXzwezK  #CFComposure #CrossFit #Health #Fitness #Boise #BuildYourBody #USAW","Boise, ID","43.57210511 -116.19088895","-116.19088895 43.57210511"
"FRI MARCH 8, 2019 - CROSSFIT  https://t.co/n5oeBzttNB  #CFComposure #CrossFit #Health #Fitness #Boise #BuildYourBody #USAW","Boise, ID","43.57210511 -116.19088895","-116.19088895 43.57210511"
"Down 4 sizes in 4 months....letâ€™s get it!!! #throwbackthursday

________________________________________

#ketogeniclifestyle #weightlosstransformation #gym #health #ketomealsâ€¦ https://t.co/Lo5mol8NqM","Towson, MD","39.4 -76.6","-76.6 39.4"
"No catchy caption, just a lot of hard work &amp; consistency <U+0001F4AA><U+0001F3FB> #workoutwednesday

_______________________________________

#ketogeniclifestyle #weightlosstransformation #gym #healthâ€¦ https://t.co/IQEw7lHwwz","Catonsville, MD","39.28978967 -76.71787262","-76.71787262 39.28978967"
"steptah me. #bisandtris #muscily #musclegeek #pecsandthecity #healthandfitness #fitness #healthylifestyle #wellness #health #legs #thighs #quads #hams #calves #gym #health #fitnessâ€¦ https://t.co/woaM6e9t0R","Manhattan, NY","40.7728432 -73.9558204","-73.9558204 40.7728432"
"Nervous to apply for a job like ""Join Our Talent Network - Swedish is hiring!"" at Swedish Medical Center? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #health #Snoqualmie, WA","Snoqualmie, WA","47.5287132 -121.8253906","-121.8253906 47.5287132"
"Don't be shy. Score a job like ""Distribution Technician"" at Providence Health &amp; Services by asking for referrals. It's a great way to get a meeting with HR. Check out the link in our bio to apply. #health #Everett, WA","Everett, WA","47.9417388 -122.2334664","-122.2334664 47.9417388"
"Nervous to apply for a job like ""Patient Services Representative - Centralized Staff Pool"" at Providence Health &amp; Services? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #health #Everett, WA","Everett, WA","47.9417388 -122.2334664","-122.2334664 47.9417388"
"Interested in a job in Seattle, WA? This could be a great fit: https://t.co/gKFu1oBkzN #health #EmeraldCity","Seattle, WA","47.61 -122.33","-122.33 47.61"
"Today was a good day hit 315 on my 5th and 6th sets the quest for 400 is going better than expected 
#fitness  #gym #fit #workout #fitfam #health #bodybuilding  #fitspo  #weightlossâ€¦ https://t.co/VZ70QErXCo","Bronx, NY","40.8726353 -73.8748472","-73.8748472 40.8726353"
"Air max , what is your favorite color? Comment Ws 347-435-5016 .
.
.
.
.
.
.
.
.
.
.
#Airmax #health #fitness #fit #versace #underarmor #fitnessmodel #fitnessaddict #fitspo #workoutâ€¦ https://t.co/YkjW1w8kjL","Manhattan, NY","40.7142 -74.0064","-74.0064 40.7142"
"Versace chain Reaction, what is your favorite color? Comment Ws 347-435-5016 .
.
.
.
.
.
.
.
.
.
.
#Airmax #health #fitness #fit #versace #underarmor #fitnessmodel #fitnessaddict #fitspoâ€¦ https://t.co/5tEAPaSWT7","Manhattan, NY","40.7142 -74.0064","-74.0064 40.7142"
"I neglected to #runselfierepeat but I did the thing. My first run in my new neighborhood. It felt good. W2D3 of #10KTrainer with zenlabsfitness! #everymomentcounts #run #running #healthâ€¦ https://t.co/EDo2r8cTBm","Arlington, Neptune Beach","30.33899199 -81.51775056","-81.51775056 30.33899199"
"Please watch and then join my #Positivity #Podcast on #Patreon!! https://t.co/miEeVuUcPj #health #wellness #lawofattraction #mindfulness #minimalism #spiritualityâ€¦ https://t.co/lkAqHOxQBd","Silverdale, WA","47.6594 -122.677","-122.677 47.6594"
"Bringing you the good in the world daily. Please join today! Just $1 a month. https://t.co/miEeVuUcPj #patreon #positivity #podcast #lawofattraction #health #wellnessâ€¦ https://t.co/n2jpP0cujy","Silverdale, WA","47.6594 -122.677","-122.677 47.6594"
"@hybridfhp hybridhealthandrehab night at the @petesohlhockey ... No better place in #ptbo! #fitness #health #performance #rehab @ Peterborough Memorial Centreâ€¦ https://t.co/pRLFrYqsUF","Peterborough, Ontario","44.28841696 -78.31570436","-78.31570436 44.28841696"
"Join the St. Joseph Health team! See our latest #health job openings, including ""Environmental Services Representative - Environmental Services, Per Diem, Variable Shifts, 8 Hours"", via the link in our bio. #MissionViejo, CA","Mission Viejo, CA","33.6147846 -117.637617","-117.637617 33.6147846"
"Join the St. Joseph Health team! See our latest #health job openings, including ""Coding Quality Auditor"", via the link in our bio. #Anaheim, CA","Anaheim, CA","33.8276052 -117.9073244","-117.9073244 33.8276052"
"Want to work in #Orange, CA? View our latest opening: https://t.co/mEwHy01Y15 #health","Orange, CA","33.81 -117.83","-117.83 33.81"
"Want to work at Providence Health &amp; Services? We're hiring in #Torrance, CA! Click for details: https://t.co/LZbAhZVQa1 #health","Torrance, CA","33.83 -118.33","-118.33 33.83"
"Put in the work, you will never regret it!

@truvefit 
#hellafit #truve #oakland #bootcamp #oaklandfitness #health #exercise #groupfitness #workout #eastbay #bestinoakland #bayareaâ€¦ https://t.co/yJ5n70yIo7","Oakland, CA","37.8029 -122.2721","-122.2721 37.8029"
"We're hiring! Click to apply: Pharmacy Refill Tech - https://t.co/7ORC2c5htH #SantaAna, CA #health","Santa Ana, CA","33.7498845 -117.866534","-117.866534 33.7498845"
"Providence Health &amp; Services is hiring in #Missoula, MT! Read about our latest #health job opening via the link in our bio: Physician Assistant Cardiothoracic Surgery","Missoula, MT","46.8500521 -113.9869641","-113.9869641 46.8500521"
"Our mission is to accelerate healing, restore #health and improve life. We encourage all #healthcare professionals to submit their qualifications to one of our open jobs. Would this be a fit for you? Unit Clerk- (Full-Time Nights 12 hour shifts) https://t.co/DUX0pEeDVv","Florida, USA","27.301922 -82.4462696","-82.4462696 27.301922"
"It is our goal to deliver exceptional patient experiences and maximize #health, healing and recovery for the patients and families we serve. Ready to make a positive change? Apply for our latest opening: Visit LPN - Per Diem https://t.co/v1ok5waDGt #LPN","Deerfield Beach, FL","26.3184123 -80.0997657","-80.0997657 26.3184123"
"It is our goal to deliver exceptional patient experiences and maximize #health, healing and recovery for the patients and families we serve. Ready to make a positive change? Apply for our latest opening: LPN / Licensed Practical Nurse - Home Health,... https://t.co/uHpiSxxzJQ","Fort Pierce, FL","27.4467056 -80.3256056","-80.3256056 27.4467056"
"This #health job might be a great fit for you. Click the link in our bio to see it and more. Patient Services Representative at Providence Health &amp; Services #Polson, MT","Polson, MT","47.6932004 -114.1631275","-114.1631275 47.6932004"
"Are you looking for a new career opportunity? Apply as a Phlebotomist I in #Polson, MT Endless opportunities await! Learn more and explore today! https://t.co/T1eLQsGuxv #health","Polson, MT","47.6932004 -114.1631275","-114.1631275 47.6932004"
"Interested in a job in #Puyallup, WA? This could be a great fit. Click the link in our bio to apply: Internal Medicine at Pacific Medical Centers #health","Puyallup, WA","47.1853785 -122.2928974","-122.2928974 47.1853785"
"Want to work at Swedish Medical Center? We're hiring in Seattle, WA! Click the link in our bio for details on this job and more: Physician Assistant Retail #health #EmeraldCity","Seattle, WA","47.61 -122.33","-122.33 47.61"
"Providence Health &amp; Services is hiring in #Everett, WA! Click the link in our bio to apply: Physician Assistant Trauma Surgery #health","Everett, WA","47.9417388 -122.2334664","-122.2334664 47.9417388"
"If you're looking for work in #SantaRosa, CA, check out this job: https://t.co/kWxf3EDipe #health","Santa Rosa, CA","38.440429 -122.7140548","-122.7140548 38.440429"
"Live from the Tank! Iâ€™m gradually adjusting to the cold after the 3rd session. An excerpt from our conversation on the benefits of cryo. #cryotherapy #newyork #cold #benefits #healthâ€¦ https://t.co/TCpth7JuZN","Manhattan, NY","40.7142 -74.0064","-74.0064 40.7142"
"Getting it in...<U+0001F44A><U+0001F3FE>
.
.

#cableflys #chest #fitchick #bodybuilding #gymrat #nomatterwhat #health #fitness #girlwholifts #girlwithmudcles #fitfam #fitover40 #californiagirl #beastmodeâ€¦ https://t.co/NGIXZNHQjd","Ladera Heights, CA","33.98799884 -118.36715007","-118.36715007 33.98799884"
"Interested in a job in #Spokane, WA? This could be a great fit: https://t.co/M8gJ7IZPRR #health","Spokane, WA","47.6939041 -117.3932074","-117.3932074 47.6939041"
"Are you looking for a new career opportunity? Apply as a Outpatient Secretary in #Spokane, WA Endless opportunities await! Learn more and explore today! https://t.co/VeLx9VlYMe #health","Spokane, WA","47.6939041 -117.3932074","-117.3932074 47.6939041"
"Are you looking for a new career opportunity? Apply as a Care Coordinator/Housing Navigator - Health Homes Program in #Hesperia, CA Endless opportunities await! Learn more and explore today! https://t.co/tnbsEYpFhW #health","Hesperia, CA","34.4263886 -117.3008784","-117.3008784 34.4263886"
"Want to work at St. Joseph Health? We're hiring in #Eureka, CA! Click the link in our bio for details on this job and more: Patient Access Representative - PAR Gastroenterology #health","California, USA","40.8134774 -124.1460963","-124.1460963 40.8134774"
"St. Joseph Health is hiring in #AppleValley, CA! Click the link in our bio to apply: RN Manager, Care Management - Full Time, Days, 8 Hours #health","Apple Valley, CA","34.5008311 -117.1858759","-117.1858759 34.5008311"
"Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like ""Respiratory Therapist - Cardiopulmonary Services"" in #Fortuna, CA. #health","Fortuna, CA","40.5981867 -124.1572756","-124.1572756 40.5981867"
"Career tip for landing jobs like ""Critical Care RN - Intensive Care Unit"" in #Eureka, CA. Go on informational interviews. The best way to get a meeting with a hiring manager is to ask for an informational meeting. #health","California, USA","40.8134774 -124.1460963","-124.1460963 40.8134774"
"If jobs with titles like ""Faculty Family Medicine"" sound appealing to you, follow us to hear about these types of opportunities in #Richland, WA. #health","Richland, WA","46.239409 -119.2934654","-119.2934654 46.239409"
"Want to work in #Richland, WA? View our latest opening: https://t.co/Mm5TbbeVH3 #health","Richland, WA","46.239409 -119.2934654","-119.2934654 46.239409"
"Did you know the CBDistillery 500mg CBD Oil has a QR Scan Code on the back of the tincture that tells you the exact date, batch, and concentration when it was extracted.

Learn more on our website! <U+0001F447>
<U+0001F50E> https://t.co/trK9HunnjA

<U+0001F34F> Online CBD Shop
#cbd #pain #health #LA #thursday https://t.co/3MQlrTFJAU","Los Angeles, CA","34.234368 -118.5390592","-118.5390592 34.234368"
"<U+2757> New Article! Want to know which celebrities are on the CBD trend?

Here is the largest celebrity list, with 24 famous celebrities who use or endorse CBD oil products <U+0001F62E>

<U+0001F447>
<U+0001F50E>  https://t.co/Cxxj3HQkVh

<U+0001F34F> Online CBD Shop
#cbd #LA #cbdshop #pain #health #anxiety #fitness #sleep https://t.co/qWBpRHAwF2","Los Angeles, CA","34.234368 -118.5390592","-118.5390592 34.234368"
"Want to learn how to use CBD to give you an edge for your fitness? <U+0001F62E>

This is the best guide for what CBD products are right for you! <U+0001F34F>

https://t.co/oHgRm5JLUS

#health #fitness #gym #sports #fit #equinox #ufc #wrestling #football","Los Angeles, CA","34.2130688 -118.4227328","-118.4227328 34.2130688"
"Want to work at Providence Health &amp; Services? We're hiring in #Everett, WA! Click the link in our bio for details on this job and more: Patient Transporter #health","Everett, WA","47.9417388 -122.2334664","-122.2334664 47.9417388"
"If you're looking for work in #SantaRosa, CA, check out this #health job via the link in our bio: Staff Nurse II - Emergency Department at St. Joseph Health","Santa Rosa, CA","38.440429 -122.7140548","-122.7140548 38.440429"
"Want to land a job like ""Nurse Practitioner - Mobile Medical Van"" at St. Joseph Health? Applicant tracking systems look for specific keywords. Use the right keywords and get your resume in front of the hiring manager. #health #RohnertPark, CA","Rohnert Park, CA","38.3396367 -122.7010984","-122.7010984 38.3396367"
"Want to work in #RohnertPark, CA? View our latest opening: https://t.co/jMS0CciClG #health","Rohnert Park, CA","38.3396367 -122.7010984","-122.7010984 38.3396367"
"Had to get back on point after taking 2 weeks off because of injury.
Putting in that #work

#health #fitnessmotivation #fitness #fit #lifestyle #body #workout #excercise #today #lifeâ€¦ https://t.co/wTVrrEYiLM","Atlanta, GA","33.7566 -84.3889","-84.3889 33.7566"
"The greatest weapon against stress is our ability to choose one thought over another. - William James

#williamjames #dailycalm #daily #calm #inspiration #health #healing #healingquotesâ€¦ https://t.co/JvorJONs3n","Greensboro, NC","36.0731 -79.7913","-79.7913 36.0731"
